filename	run	archive_idx	fitness
game_001_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	0	1.0000
game_002_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	1	1.0000
game_003_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	2	1.0000
game_004_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	5	1.0000
game_005_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	6	1.0000
game_006_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	11	1.0000
game_007_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	12	1.0000
game_008_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	13	1.0000
game_009_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	15	1.0000
game_010_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	27	1.0000
game_011_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	29	1.0000
game_012_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	32	1.0000
game_013_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	33	1.0000
game_014_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	41	1.0000
game_015_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	43	1.0000
game_016_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	44	1.0000
game_017_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	49	1.0000
game_018_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	53	1.0000
game_019_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	60	1.0000
game_020_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	67	1.0000
game_021_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	73	1.0000
game_022_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	89	1.0000
game_023_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	92	1.0000
game_024_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	96	1.0000
game_025_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	97	1.0000
game_026_fit1.000_seed_1.lud	main_experiment_seed_1_05_18_24	104	1.0000
game_027_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	116	1.0000
game_028_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	121	1.0000
game_029_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	135	1.0000
game_030_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	139	1.0000
game_031_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	140	1.0000
game_032_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	144	1.0000
game_033_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	153	1.0000
game_034_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	155	1.0000
game_035_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	156	1.0000
game_036_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	161	1.0000
game_037_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	164	1.0000
game_038_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	165	1.0000
game_039_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	179	1.0000
game_040_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	183	1.0000
game_041_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	184	1.0000
game_042_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	198	1.0000
game_043_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	204	1.0000
game_044_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	210	1.0000
game_045_fit1.000_seed_2.lud	main_experiment_seed_2_05_18_24	211	1.0000
game_046_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	264	1.0000
game_047_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	281	1.0000
game_048_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	297	1.0000
game_049_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	301	1.0000
game_050_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	302	1.0000
game_051_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	308	1.0000
game_052_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	314	1.0000
game_053_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	318	1.0000
game_054_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	328	1.0000
game_055_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	331	1.0000
game_056_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	355	1.0000
game_057_fit1.000_seed_3.lud	main_experiment_seed_3_05_18_24	369	1.0000
game_058_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	399	1.0000
game_059_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	403	1.0000
game_060_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	411	1.0000
game_061_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	416	1.0000
game_062_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	427	1.0000
game_063_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	432	1.0000
game_064_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	436	1.0000
game_065_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	462	1.0000
game_066_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	463	1.0000
game_067_fit1.000_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	480	1.0000
game_068_fit1.000_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	506	1.0000
game_069_fit1.000_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	516	1.0000
game_070_fit1.000_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	519	1.0000
game_071_fit1.000_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	529	1.0000
game_072_fit1.000_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	534	1.0000
game_073_fit1.000_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	608	1.0000
game_074_fit1.000_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	619	1.0000
game_075_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	639	1.0000
game_076_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	648	1.0000
game_077_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	650	1.0000
game_078_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	655	1.0000
game_079_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	656	1.0000
game_080_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	659	1.0000
game_081_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	676	1.0000
game_082_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	693	1.0000
game_083_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	697	1.0000
game_084_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	700	1.0000
game_085_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	705	1.0000
game_086_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	714	1.0000
game_087_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	716	1.0000
game_088_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	730	1.0000
game_089_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	668	0.9998
game_090_fit1.000_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	635	0.9997
game_091_fit0.999_seed_2.lud	main_experiment_seed_2_05_18_24	207	0.9993
game_092_fit0.999_seed_3.lud	main_experiment_seed_3_05_18_24	310	0.9992
game_093_fit0.998_seed_2.lud	main_experiment_seed_2_05_18_24	129	0.9976
game_094_fit0.997_seed_3.lud	main_experiment_seed_3_05_18_24	283	0.9973
game_095_fit0.997_seed_3.lud	main_experiment_seed_3_05_18_24	284	0.9968
game_096_fit0.997_seed_1.lud	main_experiment_seed_1_05_18_24	28	0.9967
game_097_fit0.996_seed_1.lud	main_experiment_seed_1_05_18_24	14	0.9959
game_098_fit0.996_seed_2.lud	main_experiment_seed_2_05_18_24	110	0.9956
game_099_fit0.996_seed_2.lud	main_experiment_seed_2_05_18_24	163	0.9956
game_100_fit0.996_seed_3.lud	main_experiment_seed_3_05_18_24	306	0.9956
game_101_fit0.995_seed_1.lud	main_experiment_seed_1_05_18_24	4	0.9953
game_102_fit0.995_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	423	0.9946
game_103_fit0.994_seed_3.lud	main_experiment_seed_3_05_18_24	276	0.9942
game_104_fit0.986_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	662	0.9861
game_105_fit0.984_seed_1.lud	main_experiment_seed_1_05_18_24	8	0.9842
game_106_fit0.982_seed_2.lud	main_experiment_seed_2_05_18_24	141	0.9819
game_107_fit0.978_seed_2.lud	main_experiment_seed_2_05_18_24	128	0.9783
game_108_fit0.978_seed_2.lud	main_experiment_seed_2_05_18_24	193	0.9783
game_109_fit0.978_seed_3.lud	main_experiment_seed_3_05_18_24	280	0.9783
game_110_fit0.978_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	725	0.9783
game_111_fit0.952_seed_1.lud	main_experiment_seed_1_05_18_24	3	0.9524
game_112_fit0.952_seed_1.lud	main_experiment_seed_1_05_18_24	16	0.9524
game_113_fit0.952_seed_1.lud	main_experiment_seed_1_05_18_24	46	0.9524
game_114_fit0.952_seed_1.lud	main_experiment_seed_1_05_18_24	54	0.9524
game_115_fit0.952_seed_1.lud	main_experiment_seed_1_05_18_24	65	0.9524
game_116_fit0.952_seed_1.lud	main_experiment_seed_1_05_18_24	75	0.9524
game_117_fit0.952_seed_1.lud	main_experiment_seed_1_05_18_24	77	0.9524
game_118_fit0.952_seed_1.lud	main_experiment_seed_1_05_18_24	106	0.9524
game_119_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	120	0.9524
game_120_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	138	0.9524
game_121_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	142	0.9524
game_122_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	167	0.9524
game_123_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	173	0.9524
game_124_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	174	0.9524
game_125_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	191	0.9524
game_126_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	195	0.9524
game_127_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	197	0.9524
game_128_fit0.952_seed_2.lud	main_experiment_seed_2_05_18_24	222	0.9524
game_129_fit0.952_seed_3.lud	main_experiment_seed_3_05_18_24	274	0.9524
game_130_fit0.952_seed_3.lud	main_experiment_seed_3_05_18_24	278	0.9524
game_131_fit0.952_seed_3.lud	main_experiment_seed_3_05_18_24	309	0.9524
game_132_fit0.952_seed_3.lud	main_experiment_seed_3_05_18_24	317	0.9524
game_133_fit0.952_seed_3.lud	main_experiment_seed_3_05_18_24	358	0.9524
game_134_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	422	0.9524
game_135_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	425	0.9524
game_136_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	428	0.9524
game_137_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	438	0.9524
game_138_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	449	0.9524
game_139_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	457	0.9524
game_140_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	465	0.9524
game_141_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	467	0.9524
game_142_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	471	0.9524
game_143_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	473	0.9524
game_144_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	481	0.9524
game_145_fit0.952_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	527	0.9524
game_146_fit0.952_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	532	0.9524
game_147_fit0.952_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	551	0.9524
game_148_fit0.952_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	687	0.9524
game_149_fit0.952_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	689	0.9524
game_150_fit0.952_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	709	0.9524
game_151_fit0.952_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	720	0.9524
game_152_fit0.952_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	464	0.9524
game_153_fit0.951_seed_3.lud	main_experiment_seed_3_05_18_24	352	0.9512
game_154_fit0.950_seed_1.lud	main_experiment_seed_1_05_18_24	36	0.9504
game_155_fit0.950_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	479	0.9501
game_156_fit0.950_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	470	0.9501
game_157_fit0.950_seed_3.lud	main_experiment_seed_3_05_18_24	345	0.9499
game_158_fit0.950_seed_3.lud	main_experiment_seed_3_05_18_24	365	0.9496
game_159_fit0.950_seed_3.lud	main_experiment_seed_3_05_18_24	261	0.9495
game_160_fit0.949_seed_1.lud	main_experiment_seed_1_05_18_24	57	0.9494
game_161_fit0.947_seed_1.lud	main_experiment_seed_1_05_18_24	103	0.9465
